QID;Type;QID Text;Randomized;Warning;Filtered;Needs adaptation;VID;Type;VID Text;EU;B;C;ES;IT;L;N;P;SL;SW;Responses;Responses EU;Responses B;Responses C;Responses ES;Responses IT;Responses L;Responses N;Responses P;Responses SL;Responses SW
QID05;Core;How important are members to your organization with regard to the following activities?;1;0;1;n;q05_03;Core;Identifying problems or providing ideas about your organization's activities;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important; 6: Not applicable";;;;;"1: Not important; 2: Neither important nor unimportant; 3: Important or very important";;;;;
QID05;Core;How important are members to your organization with regard to the following activities?;1;0;1;n;q05_04;Core;Providing ideas about your organization's campaigning strategies;Included;Included;;;Included;Included;;Included;Included;Included;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important; 6: Not applicable";;;;;"1: Not important; 2: Neither important nor unimportant; 3: Important or very important";;;;;
QID05;Core;How important are members to your organization with regard to the following activities?;1;0;1;n;q05_05;Core;Running local groups or branches;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important; 6: Not applicable";;;;;"1: Not important; 2: Neither important nor unimportant; 3: Important or very important";;;;;
QID05;Core;How important are members to your organization with regard to the following activities?;1;0;1;n;q05_06;Core;Generating income for the organization (e.g. fees, subscriptions, fundraising contributions, etc.);Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important; 6: Not applicable";;;;;"1: Not important; 2: Neither important nor unimportant; 3: Important or very important";;;;;
QID06;Core;Most organizations have a potential and an actual membership. For example, an association representing [COUNTRY] food producers may include all food producing companies in [COUNTRY] and would, in that case, have realized its full potential membership. Alternatively a transport labour union may only have 40 percent of transport workers in a country as members and have not realized its full potential. What percentage of potential members are actually members of your organization?;0;0;1;n;q06;Core;What percentage of potential members are actually members of your organization?;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Less than 10%; 2: Between 10 and 25%; 3: Between 25 and 50%; 4: Between 50 and 75%; 5: More than 75%; 6: Don't know; 7: Not applicable";"1: Less than 25%; 2: Between 25 and 50%; 3: Between 50 and 75%; 4: More than 75%; 5: Don't know";;;;"1: Less than 10%; 2: Between 10 and 25%; 3: Between 25 and 50%; 4: Between 50 and 75%; 5: More than 75%";"1: Less than 10%; 2: Between 10 and 25%; 3: Between 25 and 50%; 4: Between 50 and 75%; 5: More than 75%; 6: Don't know";;;;"1: Less than 25%; 2: Between 25 and 50%; 3: Between 50 and 75%; 4: More than 75%; 5: Don't know"
QID07;Core;In general, how much competition from like-minded organizations does your organization experience when attracting members, donations and subsidies?;0;0;0;n;q07;Core;In general, how much competition does your organization face from other organizations in its attempts to recruit members, increase donations, or obtain EU or national government funding etc.?;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: No competition; 2: Little competition; 3: Moderate competition; 4: Strong competition; 5: Very strong competition";;;;;;;;;;
QID08;Core;What was the annual operating budget of your organization in 2015 in Euros? [Sweden: SEK];0;0;0;n;q08;Core;What was the annual operating budget of your organization in 2014 in Euros?;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Under 10,000; 2: Between 10,000 and 50,000; 3: Between 50,000 and 100,000; 4: Between 100,000 and 500,000; 5: Between 500,000 and 1 million; 6: Between 1 million and 5 million; 7: Between 5 million and 10 million; 8: Over 10 million; 9: Don't know";"1: Under 100,000; 2: 100,000 - 500,000; 3: 500,000 - 1 million; 4: 1 million - 5 million; 5: 5 million - 10 million; 6: Over 10 million; 7: Don't know";;;;"1: Under 10,000; 2: Between 10,000 and 50,000; 3: Between 50,000 and 100,000; 4: Between 100,000 and 500,000; 5: Between 500,000 and 1 million; 6: Between 1 million and 5 million; 7: Between 5 million and 10 million; 8: Over 10 million";;;;;"1: Under 100.000; 2: 100.000 - 1 million; 3: 1 million - 5 million; 4: 5 million - 10 million; 5: 10 million - 50 million; 6: 50 million - 100 million; 7: Over 100 million; 8: Don't know"
QID09;Core;Organizations get financial support from different sources. Please indicate the percentage of your organization’s 2015 budget that came from the various sources listed below. (Estimations of percentages are sufficient and very helpful.);1;1;0;y;q09_01;Core;Membership subscriptions (company, individual or organizational members);Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID09;Core;Organizations get financial support from different sources. Please indicate the percentage of your organization’s 2015 budget that came from the various sources listed below. (Estimations of percentages are sufficient and very helpful.);1;1;0;y;q09_02;Core;Donations from individuals;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID09;Core;Organizations get financial support from different sources. Please indicate the percentage of your organization’s 2015 budget that came from the various sources listed below. (Estimations of percentages are sufficient and very helpful.);1;1;0;y;q09_03;Core;Contributions from charities or corporate sponsors;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID09;Core;Organizations get financial support from different sources. Please indicate the percentage of your organization’s 2015 budget that came from the various sources listed below. (Estimations of percentages are sufficient and very helpful.);1;1;0;y;q09_04;Core;Funding from national or regional governments;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID09;Core;Organizations get financial support from different sources. Please indicate the percentage of your organization’s 2015 budget that came from the various sources listed below. (Estimations of percentages are sufficient and very helpful.);1;1;0;y;q09_05;Core;Funding from the European Union (e.g. payments from EU projects or programmes);Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID09;Core;Organizations get financial support from different sources. Please indicate the percentage of your organization’s 2015 budget that came from the various sources listed below. (Estimations of percentages are sufficient and very helpful.);1;1;0;y;q09_06;Core;Other income generating activities (such as online/crowd funding, services/sales to members, savings/investments etc.);Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_01;Core;A chairperson;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_02;Core;A secretary general and/or managing director;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_03;Core;A board of directors or executive committee;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_04;Core;A written constitution/statutory rules;Included;Included;;;Included;Included;;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_05;Core;Committees for specific tasks;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_06;Core;In-house legal experts;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_07;Core;A general assembly or an annual general meeting;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID10;Core;Does your organization have any of the following;1;0;0;n;q10_08;Core;Local or regional chapters;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_01;Core;Budget;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_02;Core;Hiring staff;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_03;Core;Appointing board members;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_04;Core;Appointing the chairperson;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_05;Core;Admission of new members;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_06;Core;Changes to statutory rules or the constitution, etc.;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_07;Core;Establishing your organization's position on policy issues;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID11;Core;Organizations like yours can make decisions in different ways, such as consensus among individual members or board members or by voting procedures. Can you please indicate below how your organization primarily makes decisions in the following areas?;1;1;0;n;q11_08;Core;Deciding on advocacy/lobbying strategies and tactics;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other; 7: Not applicable";;;;;"1: Consensus among members; 2: Voting among the members; 3: Consensus in board; 4: Voting in the board; 5: Senior staff take these decisions; 6: Other";;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_01;Core;Donors;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_02;Core;Your membership;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_03;Core;Executive director;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_04;Core;Chair of the board;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_05;Core;The board of directors/executive committee;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_06;Core;Professional staff/colleagues;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_07;Core;Beneficiaries and clients;Included;Included;;;;Included;Included;Included;Included;;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_08;Core;Other advocacy or lobbying organizations;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_09;Core;Charities and corporate sponsors;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID12;Core;Thinking about your organization’s position on public policies, how would you rate the influence of the following actors?;1;1;0;y;q12_10;Core;Government sponsors;;Included;;;Included;Included;Included;Included;Included;;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_01;Core;Donors;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_02;Core;Your membership;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_03;Core;Executive director;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_04;Core;Chair of the board;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_05;Core;The board of directors/executive committee;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_06;Core;Professional staff/colleagues;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_07;Core;Beneficiaries and clients;Included;Included;;;;Included;Included;Included;Included;;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_08;Core;Other advocacy or lobbying organizations;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_09;Core;Charities and corporate sponsors;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID13;Core;Thinking about your organization's decisions on political strategies, how would you rate the relative influence of the following actors;1;1;0;n;q13_10;Core;Government sponsors ;;Included;;;Included;Included;Included;Included;Included;;"1: Very influential; 2: Somewhat influential; 3: Not very influential; 4: Not at all influential; 5: Not applicable";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_01;Core;Co-funding Research;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_02;Core;Fundraising;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_03;Core;Swapping supporter lists;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_04;Core;Sharing staff and personnel;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_05;Core;Representing stakeholders on committees, government, advisory bodies, etc.;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_06;Core;Joint statements, such as joint press statements or position papers;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID15;Core;Does your organization ever collaborate with other organizations in any of the following activities;1;0;0;n;q15_07;Core;Coordinating political strategies ;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_01;Core;Migration policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_02;Core;Economic and monetary policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_03;Core;Health policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_04;Core;Fight against crime;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_05;Core;Energy policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_06;Core;Education;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_07;Core;Gender policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_08;Core;Social policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_09;Core;Environmental policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_10;Core;Consumer protection;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_11;Core;Agriculture policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_12;Core;Fundamental rights of EU citizens;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_13;Core;International development policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_14;Core;Foreign policy;;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_15;Core;Defense policy;;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
